,NExog Reduced Forecast,Low,High
2026-07-01,6.577601690404243,5.768296024811194,7.386907355997291
2026-08-01,6.555965779885974,5.117572872074203,7.994358687697745
2026-09-01,6.83936310713244,4.97309071165385,8.705635502611031
2026-10-01,6.789446403612903,4.576536294501467,9.00235651272434
2026-11-01,6.816052202723302,4.3038878673563294,9.328216538090274
2026-12-01,6.510116855617585,3.730734164304282,9.289499546930887
2027-01-01,6.379685982722427,3.3566135982674714,9.402758367177384
2027-02-01,6.388206125432178,3.1396733583915917,9.636738892472763
2027-03-01,5.488317725403624,2.02898778516685,8.947647665640398
2027-04-01,3.674661522479579,0.016661777769261032,7.332661267189897
2027-05-01,4.00536388498423,0.1589420894471174,7.851785680521342
2027-06-01,4.221912215234928,0.19587705318465876,8.247947377285197
